mode,physical_run_id,scenario,metric,complete_trials,predicted_trials,observed_mean,predicted_mean,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-384,average_tpot_ms,26,26,155.8557978387097,0.5401313548387093,99.65336028924814,99.65344160286057,-99.65579359145289,-99.65202656358873
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-384,exact_itl_ms,26,26,155.8557978387097,0.5401313548387093,99.65336028924814,99.65344160286057,-99.65579359145289,-99.65202656358873
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-384,request_latency_ms,26,26,5176.572546692308,27.305325999999987,99.47241313330535,99.47252113722531,-99.47586470155902,-99.4704954516283
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-384,last_token_latency_ms,26,26,5176.225659192308,27.305325999999987,99.47237779231969,99.47248578795035,-99.47582969049678,-99.47045931954428
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-384,output_tokens_per_second,26,26,11.865020561877488,1499.7640538731735,12547.874648190174,12540.214536938445,12435.505043334253,12664.19317411314
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-384,ttft_ms,26,26,395.0445924807692,15.843575653846152,95.92755199551978,95.9894209526188,-96.1765687879476,-95.78761674499442
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-384,average_tpot_ms,26,26,161.3328736687345,0.8361455775434241,99.48152714720925,99.48172647115908,-99.48612372294362,-99.47845485978789
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-384,exact_itl_ms,26,26,161.3328736687345,0.8361455775434241,99.48152714720925,99.48172647115908,-99.48612372294362,-99.47845485978789
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-384,request_latency_ms,26,26,5397.047726769231,41.764088557692304,99.22569682856287,99.22616788525801,-99.23406858819328,-99.21942360905707
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-384,last_token_latency_ms,26,26,5396.363676211538,41.764088557692304,99.22559864766754,99.22606979322396,-99.23397305302811,-99.21932319734168
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-768,output_tokens_per_second,26,26,6.1987411371135295,1114.7272769966478,17883.292912645607,17883.12354620644,17863.01983974581,17904.68627337101
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-768,ttft_ms,26,26,345.90339457692306,11.599419000000001,96.64649077640267,96.64663048069033,-96.65536301088484,-96.63853053801546
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-768,average_tpot_ms,26,26,155.35914684491314,0.540360129032258,99.65218244588827,99.65218647243752,-99.65265456101702,-99.6517455615699
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-768,exact_itl_ms,26,26,155.35914684491314,0.540360129032258,99.65218244588827,99.65218647243752,-99.65265456101702,-99.6517455615699
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-768,request_latency_ms,26,26,5162.390119884615,28.350583,99.45081898405235,99.45082447584117,-99.4515172294812,-99.45017068695084
